gridid,ton,ton,ton,ton,ton,ton,ton,ton,ton,ton,ton,ton,m3,m3,m3,m3,mgal,ton,ton,ton,ton,ton,ha
FIPS,T_YLN,T_YLP,T_FNH3,T_FNO,T_FNO3,T_NFIX,T_GMN,T_FPO,T_FPL,T_MNP,T_YLDG,T_YLDF,T_IRGA,T_ET,T_PET,T_PRCP,Nyield,Pyield,T_NWET,T_NDRY,AREA,NUE,PUE,NUE1,PUE1
1001,6.84331730989209,1.00800065479773,0,0,4.45966262514085,0,18.3156427380491,0,0,0.962672304151295,239.74563889267,0,0,681789.685951173,1266403.68497908,912110.988863111,6.80877614455183,1.00693168334921,0.339466986456075,0.35087977471493,80.3659783601761,1.32209004563153,Inf,1.3287970558036,Inf
1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005,0.563065686096998,0.0851905760947518,0,0,0.377987707155578,0,1.21424133404521,0,0,0.0858813689399414,20.1892650113274,0,0,43080.8517171443,98450.4221749306,69061.3111169636,0.573375126321698,0.084794913047575,0.0241326910912896,0.0254541642746182,6.16417470574379,1.34099447577143,Inf,1.3168830315267,Inf
1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1021,0.44806805508935,0.0664345054275939,0,0,0.290147706617345,0,1.13656090724299,0,0,0.0604851191412118,15.7218880248377,0,0,42369.5537513494,78661.0328382254,56479.8809981346,0.44650161990539,0.0660319297043183,0.0214312104304721,0.0241332459253506,5.12163037061691,1.33001323500179,Inf,1.33467924164893,Inf
1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1031,1.27456464215142,0.193654106587767,0,0,0.773811562818424,0,2.67870915991452,0,0,0.200307677205592,45.9133703253196,0,0,98361.0792088509,211480.123688579,164332.365938276,1.30393971723908,0.192836155366342,0.0525011676437872,0.0627459520604175,12.9848776012659,1.46665202519507,Inf,1.43361137707463,Inf
1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1045,11.7340382365675,1.78712544176455,0,0,7.56970409189395,0,24.4639130796465,0,0,1.82022430476478,423.498040937105,0,0,890215.643658936,1985114.21889335,1487270.47346503,12.0273443626138,1.77869177193584,0.463850412910061,0.599051617826168,123.13399207592,1.39324604780524,Inf,1.35926950330874,Inf
1047,0.10840945924442,0.0159892950877547,0,0,0.0683873955317578,0,0.296270985693281,0,0,0.0154311710613401,3.79989160843319,0,0,10846.6760936379,20206.1983144283,13765.6546041369,0.107916921679503,0.0159595447554194,0.00551259930168038,0.00570714998132363,1.29934278130531,1.35561854316739,Inf,1.3618056456701,Inf
1049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1051,0.145240663861141,0.0215670602197507,0,0,0.0990736801226699,0,0.362995516170179,0,0,0.0205527340354011,5.10364260768032,0,0,14406.1220414937,26065.8137990534,20640.3502933681,0.144943450058121,0.0214352989522573,0.0067304321755685,0.00766915896688533,1.68492655456066,1.27733560901288,Inf,1.27995484964732,Inf
