FIPS ,ton,ton,ton,ton,ton,ton,ton,ton,ton,ton,ton,ton,m3,m3,m3,m3,mgal,ton,ton,ton,ton,ha,ha
FIPS,T_YLN,T_YLP,T_FNH3,T_FNO,T_FNO3,T_NFIX,T_GMN,T_FPO,T_FPL,T_MNP,T_YLDG,T_YLDF,T_IRGA,T_ET,T_PET,T_PRCP,T_IRGAmgal,Nyield,Pyield,T_NWET,T_NDRY,T_cropLand,T_irrLand,NUE,PUE,NUE1,PUE1
1001,861.378555075838,139.746589673749,79.664589052133,24.4589132608351,155.922285459324,51.3083722334555,2003.33266189452,3.17373314774132,85.3269610607487,172.857539051575,6399.47475682348,65731.6038066383,263530.579942802,195232275.392715,349946185.966076,253145008.408947,69.61740036465,1093.15894062578,147.690007931868,93.5965395819487,97.6926600741858,22137.4574962829,826.136184598551,2.17482021718365,1.66880055860284,1.71369727365994,1.57904512414936
1003,2268.85302378617,344.414749365401,376.619228790958,82.8616811267206,763.106479371263,1440.14156466863,9713.83034037402,10.7426661704615,557.20850928405,597.705756814621,75491.4034801686,87741.6692203691,382000.253758917,437932376.95452,718441706.550945,791004229.542746,100.913771036001,4345.27100196988,615.266157669096,184.641002562974,243.827950563877,49117.406278786,683.067619251902,1.40569162265909,1.08330818608962,0.733972101425923,0.606416122107289
1005,929.337185539674,134.446992903437,73.329416962078,24.3036036781672,146.628466003116,124.055130742129,2562.72575196529,3.14967776194394,201.694318701509,194.56483109434,10078.7455528835,59027.5461578029,2097500.35271421,145201955.688777,340495676.195156,206333144.277838,554.100863177219,1157.01586903455,159.008804946082,74.2423061525514,85.5134090210475,21114.8310578949,858.646689098328,2.19101777862048,0.776243422757333,1.75986721560666,0.656338458654432
1007,319.66910801164,54.6577240424915,4.53878510553834,6.14340048807197,21.4742107555252,0.759029514175172,652.048315762803,0.798232626908395,1.73576334942629,48.2105579987996,121.788757797479,30009.6053410908,2165.92516776582,83739874.8801588,163337840.707148,122511776.066796,0.572176783419032,452.658682414922,60.4134902197009,50.0130967896726,46.4885069276437,10568.102876986,1.08679726818809,3.49767479505404,23.8411942181085,2.47006988993273,21.5697753875487
1009,2270.56144899396,306.518575101355,25.7262950677939,14.8138520145812,73.8291732266824,90.5030936307775,4335.92402239613,1.92406428695712,1175.86815592735,367.500318934829,3659.63144715559,164559.210876692,72674.6074364986,322902875.706562,714796099.125955,568065704.41337,19.1985963957147,2640.41040327412,350.953682017298,273.984787475174,285.435247523771,48648.9569931636,25.2751543759368,3.45471214185136,0.29797588742218,2.97080188630233,0.260248429086738
1011,799.888137596945,125.508603978849,22.7571696939767,18.1846780148772,73.0578030319505,28.4735749490305,1740.90331479687,2.36008085981398,208.218920611771,128.284501370266,2181.0010787493,66754.2736892956,52622.4337376655,171544728.563338,371184944.583324,208646929.471785,13.9013735653466,1070.52301728356,143.973569718347,79.4746410898739,89.8182989454607,22787.3218355792,41.2435565683991,3.43373699578182,0.683703354618546,2.56566691814168,0.596016711551294
1013,793.941780651394,107.539708766634,18.4533525573336,9.35324414496092,48.3438442576078,134.343653450704,1538.23626799006,1.21471397789251,18.6586643685471,117.595876934257,2633.85988190024,55753.3904691019,2071.91354809329,123054796.349951,265197121.86819,199487768.048169,0.547341545826901,1061.24068149776,137.605659034982,76.3642356724911,71.1474266958853,16619.1744235871,0.765232203528285,2.96431177824028,6.92412012875683,2.21767880995707,5.41124447449069
1015,1006.61399406261,139.641206435212,23.8531622479898,8.68283814458861,51.3213315599552,4.58254655910293,1945.36380996761,1.12709740244384,231.779685121316,167.287964800291,3827.46316783966,71787.5078161326,48521.7424482107,182152185.585883,354292608.953315,232092637.292008,12.8180857460287,1118.74076453216,151.487588040711,110.504871228507,126.334702038611,23283.4516497727,20.3211255613714,3.43932196889305,0.650421539464001,3.09461291993102,0.599558350864972
1017,699.581967468197,98.2279330288432,4.07984147241306,6.44314213303865,21.9035392652956,61.1113564774864,1342.00880647984,0.837176380907598,431.119817535667,109.425857156619,6.42885521541426,54342.1455157608,22698.9483609796,121737525.401527,267799280.748632,156179839.380226,5.9964265864167,908.794327992818,118.245629523704,60.9637351343044,74.3333062542583,17119.9559063448,13.0791054815054,3.97139704493836,0.273743986528764,3.05714689530646,0.227402112738599
1019,1009.29964196141,142.947721381926,84.8650256948679,14.3269135881761,136.929076409891,13.2868322389985,2606.3785822276,1.85832848906109,187.471747973809,252.72015860039,11148.5323230469,60051.2958387568,133159.424690344,169613593.194957,350337208.453161,264209975.063776,35.1769915392975,978.171472128064,135.989987314581,132.950779372276,107.38370907141,22735.8917275837,57.672676732298,1.99731858872383,0.71826933076452,2.06087888874551,0.755018558342785
1021,734.324374286626,121.049360944687,18.9394860070627,19.8684919406543,75.276541196298,3.00169738629926,1448.22195002131,2.57508766108745,7.90678178741352,108.666775234961,751.889581698988,65843.0937250324,34262.1420621872,186410149.126695,353408495.33952,226234890.201999,9.05109859285211,998.864199152222,133.555271462671,91.2214643908473,108.530316900007,23045.2932246578,52.6728432476521,3.15260229524618,12.7415507432952,2.31766511383239,11.5484514989831
1023,365.802548856563,49.6792489638398,7.52769482874377,2.41698967814437,14.934716822308,3.23350431554933,594.732980975941,0.313605644281417,4.79690131436276,45.8884306146167,309.530423530552,27126.7679944085,638.637268915773,69861192.1425166,124865292.547264,92622315.4368111,0.168710084604018,410.454316281396,54.9679444353126,32.7847317121963,30.5801328263932,7782.5144187423,0.638637268915773,4.48692961643889,10.7558692083056,3.99881357102869,9.72100211698366
