HUC8 ,ton,ton,ton,ton,ton,ton,ton,ton,ton,ton,ton,ton,m3,m3,m3,m3,mgal,ton,ton,ton,ton,ha,ha
HUC8,T_YLN,T_YLP,T_FNH3,T_FNO,T_FNO3,T_NFIX,T_GMN,T_FPO,T_FPL,T_MNP,T_YLDG,T_YLDF,T_IRGA,T_ET,T_PET,T_PRCP,T_IRGAmgal,Nyield,Pyield,T_NWET,T_NDRY,T_cropLand,T_irrLand,NUE,PUE,NUE1,PUE1
1010001,570.764244155204,90.4175400238562,55.3658732669299,7.0621425979734,134.728468629817,119.371246957042,1033.10515058283,0.673115398245806,133.199263078672,73.5710638204511,4569.68167388081,33054.5343847275,13174.350053072,37583781.815299,53253317.6535062,82708008.9431272,3.48029440222013,810.141428082434,100.421080304785,21.4209167671613,10.0624797414613,6198.77565108798,28.676061719656,2.32791816983121,0.750125466113978,1.64007469387638,0.675401012909068
1010002,0.0582177349449595,0.00718376904929391,0.0154902467646358,0,0.0401913898768794,0,0.136934080262762,0,0.00760713836801455,0.00443390611231861,2.47601181633117,0,11.5324556361884,2763.22699947283,4353.09002981521,6475.54339346475,0.00304655187032316,0.0584338788654157,0.0071804342673604,0.00154478658347517,0.000708501230728448,0.515158583410084,0.0329498732462525,1.00861232519735,0.943907409066161,1.00488151994496,0.944345784414706
1010003,281.052630324514,45.54691927542,17.8227620188725,0.140771045105618,58.2273277939656,35.8125766067106,595.343152737256,0.0142227701532163,9.28790042994701,44.6265567217129,3539.50367319716,14837.2737077639,23687.684699893,18020029.1390435,26768107.3117382,41080722.3620287,6.25762304254013,363.507880414415,45.7953352364983,10.3487335066413,4.09902003977689,3090.91364054382,49.3342989608646,2.87468925763289,4.92310564495693,2.2226175022733,4.89640034814087
1010004,1058.44967168629,169.149068973502,166.163419791968,11.0910586776402,402.752178209121,147.315960280804,2072.9886562264,1.0550619790396,146.737851362406,126.588457141059,14596.3655006178,55314.5825007167,95358.0275005311,73959126.4037418,106278985.682382,147037774.261616,25.1909208408703,1402.60441410668,176.255580021833,37.4412492883592,14.5266287975058,11911.8685951826,197.785477377183,1.79984796815079,1.1925847866239,1.35822222703311,1.1445005389583
1010005,627.283422219327,98.9329032657338,109.012814139989,5.70728741745815,280.60079884167,88.7389363039679,1301.19776737741,0.542973004306848,86.9618231826864,78.6042903136027,11947.8472053037,28108.198345397,86935.8043223619,44384894.5080507,67268621.9429554,89505680.5524007,22.966005299447,841.946909462185,104.976723543733,21.3312648440789,9.37832928468424,7331.03485889733,146.705950319767,1.63558062898496,1.19966822526394,1.21857162575808,1.13059977940317
1020001,11.5679046867937,1.19618558875214,0.827027069642232,0.222573284766796,1.71649625648168,5.15148876866617,21.2877508899879,0.0211672385420345,0.0431607727987851,1.48664313485899,0,751.599906659455,0,1377820.14120329,2075861.54122587,2708035.74073143,0,19.6437982586465,2.35688226188368,0.622783037365228,0.301356030529224,214.164928179234,0,2.22171572699361,36.6385065037463,1.30833128260723,18.5950966588189
1020002,9.08587032851116,0.9521307220555,0.393629241234012,0.105664296796819,0.81488119636073,3.85151063523948,16.0175407186495,0.010091848741973,0.0208189503812512,1.20163003358265,0,607.589349891696,0,1052461.68462038,1578753.13074589,2198371.29496336,0,15.4193105274832,1.85830870607819,0.458651472818555,0.211093678259744,169.758401155472,0,2.64236040044717,60.1184297652788,1.55701799486196,30.8025269181778
1020003,189.39190273717,20.5870306889131,14.8670350679961,2.44879205559243,42.9180678877916,58.206187541173,344.027716396374,0.233286541954475,3.30626907164875,22.8525674472224,1346.84981357301,10881.6191450985,18543.7927698833,20664773.8968215,31672149.6699246,41545251.8811396,4.89875082360561,289.078811539949,35.2637102065539,8.57966110499025,4.55360657697347,3371.70112042548,19.5813625794835,2.19709242809956,9.96275071114249,1.43943969200143,5.81627552616859
1020004,83.6221802418698,9.67011998843621,10.7273550072035,2.73971128457149,23.4466320687207,2.92458305034748,211.007711191612,0.261044825954712,0.803591441833549,15.0842152866934,122.582857706024,6537.69551466242,0,14160239.6997062,21051835.3552107,27211169.3213099,0,105.87132856312,13.9319794507318,7.96456404693435,3.34642405953507,2143.95278749941,0,2.06985025518861,13.0861401891511,1.63486558128784,9.0830270215437
1020005,1141.26767911118,205.633086820616,53.202207786494,13.9987111576588,111.203974473753,256.838706364505,2269.96981067604,1.33294691132415,126.938705832564,191.117340808991,172.000562318501,83743.8966619647,2377.90394182667,78805858.5891433,136433140.318395,160188832.134964,0.628175640120234,1743.19666085488,217.248310901695,42.9717651958106,25.8613635345876,13474.4992310166,2.2646704207873,3.45819706059012,1.69365800045829,2.26407531741903,1.60310623915628
1030001,14.1599906474488,2.40858170366524,1.32124330717849,0.296945032049704,2.86600314044591,3.31984558876347,23.4467699895761,0.0283050162333529,0.164823306868953,1.80207975177266,22.1438733882498,1036.63066038982,0,935637.343865744,1408483.16132834,2304235.93129104,0,21.3261430133588,2.67337219882784,0.611504982832878,0.387523646407306,165.809685012326,0,2.42258137627948,13.8424657548115,1.60852947526953,12.4714058765443
1030002,0.0960308187787453,0.0181988498903254,0.00651341560711286,0.00176103445225616,0.0136099305524279,0.0165049649766163,0.168220476900575,0.000167244675777899,0.000338208401246139,0.015008434626718,0,7.99424739330417,0,6294.29177138955,10685.5312963016,15730.5034493097,0,0.147245633664113,0.0187762297027266,0.00385634009019418,0.00219845874475757,1.1678176280111,0,3.31304912209547,37.1473249569982,2.16070800832562,36.0050234484178
